timestamp: CODE VALUEBYTE(S)
1764233963.336: 80 FE 58 
1764233963.336: 80 FE 7C 
1764233963.336: 80 FE 04 
1764233963.336: 80 FD B2 
1764233963.336: 80 FE 13 
1764233963.336: 80 FE BB 
1764233963.336: 80 FE D3 
1764233963.336: 80 FE 37 
1764233963.336: 80 FD B0 
1764233963.336: 80 FD E8 
1764233963.336: 80 FE 8E 
1764233963.336: 80 FE C8 
1764233963.336: 80 FE 54 
1764233963.336: 80 FD E3 
1764233963.336: 80 FE 1F 
1764233963.336: 80 FE C5 
1764233963.336: 80 FE FC 
1764233963.336: 80 FE 75 
1764233963.336: 80 FD DE 
1764233963.336: 80 FD F6 
1764233963.336: 80 FE 93 
1764233963.336: 80 FE DF 
1764233963.336: 80 FE 78 
1764233963.336: 80 FD F4 
1764233963.336: 80 FE 16 
1764233963.336: 80 FE BD 
1764233963.336: 80 FF 0F 
1764233963.336: 80 FE 9A 
1764233963.336: 80 FD F2 
1764233963.336: 80 FD EE 
1764233963.336: 80 FE 8E 
1764233963.336: 80 FE FF 
1764233963.336: 80 FE B5 
1764233963.336: 80 FE 29 
1764233963.336: 80 FE 31 
1764233963.336: 80 FE DD 
1764233963.336: 80 FF 5B 
1764233963.336: 80 FF 0C 
1764233963.336: 80 FE 5A 
1764233963.336: 80 FE 2D 
1764233963.336: 80 FE BA 
1764233963.336: 80 FF 44 
1764233963.336: 80 FF 1B 
1764233963.336: 80 FE 8C 
1764233963.336: 80 FE 6E 
1764233963.336: 80 FF 00 
1764233963.336: 80 FF 8C 
1764233963.336: 80 FF 5B 
1764233963.336: 80 FE AD 
1764233963.336: 80 FE 69 
1764233963.336: 80 FE E9 
1764233963.336: 80 FF 88 
1764233963.336: 80 FF 82 
1764233963.336: 80 FE F7 
1764233963.336: 80 FE C0 
1764233963.336: 80 FF 42 
1764233963.336: 80 FF E5 
1764233963.336: 80 FF DE 
1764233963.336: 80 FF 3C 
1764233963.336: 80 FE D9 
1764233963.336: 80 FF 33 
1764233963.336: 80 FF CF 
1764233963.336: 80 FF DF 
1764233963.336: 80 FF 5C 
1764233963.367: 80 FF 0C 
1764233963.367: 80 FF 70 
1764233963.367: 80 00 12 
1764233963.367: 80 00 21 
1764233963.367: 80 FF 8A 
1764233963.367: 80 FF 16 
1764233963.367: 80 FF 5E 
1764233963.367: 80 00 02 
1764233963.367: 80 00 30 
1764233963.367: 80 FF BB 
1764233963.367: 80 FF 5B 
1764233963.367: 80 FF AA 
1764233963.367: 80 00 50 
1764233963.367: 80 00 74 
1764233963.367: 80 FF E0 
1764233963.367: 02 C8 
1764233963.367: 80 FF 50 
1764233963.367: 80 FF 79 
1764233963.367: 80 00 1B 
1764233963.367: 80 00 5B 
1764233963.367: 80 FF EC 
1764233963.367: 80 FF 74 
1764233963.367: 80 FF AA 
1764233963.367: 80 00 57 
1764233963.367: 80 00 9B 
1764233963.367: 80 00 19 
1764233963.367: 80 FF 79 
1764233963.367: 80 FF 8A 
1764233963.367: 80 00 2F 
1764233963.367: 80 00 8C 
1764233963.367: 80 00 27 
1764233963.367: 80 FF 94 
1764233963.367: 80 FF A4 
1764233963.367: 80 00 4E 
1764233963.367: 80 00 B1 
1764233963.367: 80 00 44 
1764233963.367: 80 FF 8B 
1764233963.367: 80 FF 6F 
1764233963.367: 80 00 0A 
1764233963.367: 80 00 8C 
1764233963.367: 80 00 52 
1764233963.367: 80 FF C2 
1764233963.367: 80 FF B9 
1764233963.367: 80 00 5D 
1764233963.367: 80 00 E5 
1764233963.367: 80 00 A3 
1764233963.367: 80 FF F0 
1764233963.367: 80 FF B7 
1764233963.367: 80 00 42 
1764233963.367: 80 00 DB 
1764233963.367: 80 00 C6 
1764233963.367: 80 00 38 
1764233963.367: 80 00 0E 
1764233963.367: 80 00 9B 
1764233963.367: 80 01 39 
1764233963.367: 80 01 23 
1764233963.367: 80 00 81 
1764233963.367: 80 00 33 
1764233963.367: 80 00 A7 
1764233963.367: 80 01 4D 
1764233963.367: 80 01 5B 
1764233963.367: 80 00 E2 
1764233963.399: 80 00 B3 
1764233963.399: 80 01 3D 
1764233963.399: 80 01 F0 
1764233963.399: 80 01 FB 
1764233963.399: 80 01 65 
1764233963.399: 80 01 0D 
1764233963.399: 80 01 80 
1764233963.399: 80 02 43 
1764233963.399: 80 02 73 
1764233963.399: 80 01 F7 
1764233963.399: 80 01 A4 
1764233963.399: 80 02 14 
1764233963.399: 80 02 DC 
1764233963.399: 80 03 0E 
1764233963.399: 80 02 78 
1764233963.399: 80 01 E5 
1764233963.399: 80 02 0E 
1764233963.399: 80 02 AF 
1764233963.399: 80 02 E6 
1764233963.399: 80 02 66 
1764233963.399: 80 01 D7 
1764233963.399: 80 01 ED 
1764233963.399: 80 02 72 
1764233963.399: 80 02 91 
1764233963.399: 80 01 F6 
1764233963.399: 80 01 46 
1764233963.399: 80 01 43 
1764233963.399: 80 01 CD 
1764233963.399: 80 02 10 
1764233963.399: 80 01 A1 
1764233963.399: 80 01 0D 
1764233963.399: 80 01 0F 
1764233963.399: 80 01 90 
1764233963.399: 80 01 C0 
1764233963.399: 80 01 28 
1764233963.399: 80 00 56 
1764233963.399: 80 00 20 
1764233963.399: 80 00 8F 
1764233963.399: 80 00 DB 
1764233963.399: 80 00 77 
1764233963.399: 80 FF D1 
1764233963.399: 80 FF BC 
1764233963.399: 80 00 4B 
1764233963.399: 80 00 B7 
1764233963.399: 80 00 65 
1764233963.399: 80 FF B8 
1764233963.399: 80 FF 92 
1764233963.399: 80 00 24 
1764233963.399: 80 00 B3 
1764233963.399: 80 00 8F 
1764233963.399: 80 FF FE 
1764233963.399: 80 FF DB 
1764233963.399: 80 00 63 
1764233963.399: 80 00 DE 
1764233963.399: 80 00 8D 
1764233963.399: 80 FF B1 
1764233963.399: 80 FF 3B 
1764233963.399: 80 FF 98 
1764233963.399: 80 00 2A 
1764233963.399: 80 00 22 
1764233963.399: 80 FF A2 
1764233963.399: 80 FF 90 
1764233963.399: 80 00 63 
1764233963.570: 80 01 8D 
1764233963.570: 80 02 47 
1764233963.570: 80 02 AE 
1764233963.570: 80 03 9B 
1764233963.570: 80 05 75 
1764233963.570: 80 07 8D 
1764233963.570: 80 09 02 
1764233963.570: 80 09 EC 
1764233963.570: 80 0B 3F 
1764233963.570: 80 0D 6C 
1764233963.570: 80 0F 9D 
1764233963.570: 86 03 0B 
1764233963.570: 03 4D 
1764233963.570: 80 10 97 
1764233963.570: 80 10 28 
1764233963.570: 80 0F 4C 
